"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2.099e-07;1.5e+07;0.83179;0
2.102e-07;1.5e+07;0.858078;0
2.105e-07;1.5e+07;0.883816;0
2.108e-07;1.5e+07;0.908929;0
2.111e-07;1.5e+07;0.933345;0
2.114e-07;1.5e+07;0.956998;0
2.117e-07;1.5e+07;0.979829;0
2.12e-07;1.5e+07;1.00179;0
2.123e-07;1.5e+07;1.02283;0
2.126e-07;1.5e+07;1.04292;0
2.129e-07;1.5e+07;1.06204;0
2.132e-07;1.5e+07;1.08016;0
2.135e-07;1.5e+07;1.09729;0
2.138e-07;1.5e+07;1.11342;0
2.141e-07;1.5e+07;1.12855;0
2.144e-07;1.5e+07;1.14268;0
2.147e-07;1.5e+07;1.15583;0
2.15e-07;1.5e+07;1.168;0
2.153e-07;1.5e+07;1.1792;0
2.156e-07;1.5e+07;1.18944;0
2.159e-07;1.5e+07;1.19873;0
2.162e-07;1.5e+07;1.20708;0
2.165e-07;1.5e+07;1.21448;0
2.168e-07;1.5e+07;1.22093;0
2.171e-07;1.5e+07;1.22644;0
2.174e-07;1.5e+07;1.231;0
2.177e-07;1.5e+07;1.2346;0
2.18e-07;1.5e+07;1.23724;0
2.183e-07;1.5e+07;1.23892;0
2.186e-07;1.5e+07;1.23962;0
2.189e-07;1.5e+07;1.23933;0
2.192e-07;1.5e+07;1.23806;0
2.195e-07;1.5e+07;1.23579;0
2.198e-07;1.5e+07;1.23252;0
2.201e-07;1.5e+07;1.22825;0
2.204e-07;1.5e+07;1.22298;0
2.207e-07;1.5e+07;1.2167;0
2.21e-07;1.5e+07;1.20942;0
2.213e-07;1.5e+07;1.20115;0
2.216e-07;1.5e+07;1.19189;0
2.219e-07;1.5e+07;1.18165;0
2.222e-07;1.5e+07;1.17044;0
2.225e-07;1.5e+07;1.15827;0
2.228e-07;1.5e+07;1.14515;0
2.231e-07;1.5e+07;1.13109;0
2.234e-07;1.5e+07;1.11611;0
2.237e-07;1.5e+07;1.10023;0
2.24e-07;1.5e+07;1.08345;0
2.243e-07;1.5e+07;1.06579;0
2.246e-07;1.5e+07;1.04727;0
2.249e-07;1.5e+07;1.02791;0
2.252e-07;1.5e+07;1.00772;0
2.255e-07;1.5e+07;0.986724;0
2.258e-07;1.5e+07;0.96493;0
2.261e-07;1.5e+07;0.942359;0
2.264e-07;1.5e+07;0.919029;0
2.267e-07;1.5e+07;0.894959;0
2.27e-07;1.5e+07;0.870168;0
2.273e-07;1.5e+07;0.844675;0
2.276e-07;1.5e+07;0.818499;0
2.279e-07;1.5e+07;0.791661;0
2.282e-07;1.5e+07;0.764183;0
2.285e-07;1.5e+07;0.736086;0
2.288e-07;1.5e+07;0.707392;0
2.291e-07;1.5e+07;0.678125;0
2.294e-07;1.5e+07;0.648308;0
2.297e-07;1.5e+07;0.617966;0
2.3e-07;1.5e+07;0.587124;0
2.303e-07;1.5e+07;0.555807;0
2.306e-07;1.5e+07;0.524043;0
2.309e-07;1.5e+07;0.491857;0
2.312e-07;1.5e+07;0.459277;0
2.315e-07;1.5e+07;0.426332;0
2.318e-07;1.5e+07;0.39305;0
2.321e-07;1.5e+07;0.35946;0
2.324e-07;1.5e+07;0.325593;0
2.327e-07;1.5e+07;0.291478;0
2.33e-07;1.5e+07;0.257147;0
2.333e-07;1.5e+07;0.222629;0
2.336e-07;1.5e+07;0.187948;0
2.339e-07;1.5e+07;0.153117;0
2.342e-07;1.5e+07;0.118123;0
2.345e-07;1.5e+07;0.0829166;0
2.348e-07;1.5e+07;0.0474216;0
2.351e-07;1.5e+07;0.0115623;0
2.354e-07;1.5e+07;-0.0247073;0
2.357e-07;1.5e+07;-0.0613805;0
2.36e-07;1.5e+07;-0.0983967;0
2.363e-07;1.5e+07;-0.135651;0
2.366e-07;1.5e+07;-0.173002;0
2.369e-07;1.5e+07;-0.210282;0
2.372e-07;1.5e+07;-0.2473;0
2.375e-07;1.5e+07;-0.283847;0
2.378e-07;1.5e+07;-0.31972;0
2.381e-07;1.5e+07;-0.354752;0
2.384e-07;1.5e+07;-0.388842;0
2.387e-07;1.5e+07;-0.421976;0
2.39e-07;1.5e+07;-0.454208;0
2.393e-07;1.5e+07;-0.485638;0
2.396e-07;1.5e+07;-0.516382;0
2.399e-07;1.5e+07;-0.546558;0
2.402e-07;1.5e+07;-0.576273;0
2.405e-07;1.5e+07;-0.605621;0
2.408e-07;1.5e+07;-0.634677;0
2.411e-07;1.5e+07;-0.663493;0
2.414e-07;1.5e+07;-0.692099;0
2.417e-07;1.5e+07;-0.720503;0
2.42e-07;1.5e+07;-0.74869;0
2.423e-07;1.5e+07;-0.776629;0
2.426e-07;1.5e+07;-0.804271;0
2.429e-07;1.5e+07;-0.831557;0
2.432e-07;1.5e+07;-0.858418;0
2.435e-07;1.5e+07;-0.884779;0
2.438e-07;1.5e+07;-0.910565;0
2.441e-07;1.5e+07;-0.935703;0
2.444e-07;1.5e+07;-0.960123;0
2.447e-07;1.5e+07;-0.98376;0
2.45e-07;1.5e+07;-1.00656;0
2.453e-07;1.5e+07;-1.02847;0
2.456e-07;1.5e+07;-1.04946;0
2.459e-07;1.5e+07;-1.0695;0
2.462e-07;1.5e+07;-1.08856;0
2.465e-07;1.5e+07;-1.10664;0
2.468e-07;1.5e+07;-1.12372;0
2.471e-07;1.5e+07;-1.13981;0
2.474e-07;1.5e+07;-1.15492;0
2.477e-07;1.5e+07;-1.16903;0
2.48e-07;1.5e+07;-1.18218;0
2.483e-07;1.5e+07;-1.19436;0
2.486e-07;1.5e+07;-1.20558;0
2.489e-07;1.5e+07;-1.21584;0
2.492e-07;1.5e+07;-1.22517;0
2.495e-07;1.5e+07;-1.23355;0
2.498e-07;1.5e+07;-1.241;0
2.501e-07;1.5e+07;-1.2475;0
2.504e-07;1.5e+07;-1.25305;0
2.507e-07;1.5e+07;-1.25766;0
2.51e-07;1.5e+07;-1.26131;0
2.513e-07;1.5e+07;-1.264;0
2.516e-07;1.5e+07;-1.26572;0
2.519e-07;1.5e+07;-1.26646;0
2.522e-07;1.5e+07;-1.26622;0
2.525e-07;1.5e+07;-1.26498;0
2.528e-07;1.5e+07;-1.26274;0
2.531e-07;1.5e+07;-1.25951;0
2.534e-07;1.5e+07;-1.25526;0
2.537e-07;1.5e+07;-1.25001;0
2.54e-07;1.5e+07;-1.24376;0
2.543e-07;1.5e+07;-1.23651;0
2.546e-07;1.5e+07;-1.22826;0
2.549e-07;1.5e+07;-1.21902;0
2.552e-07;1.5e+07;-1.2088;0
2.555e-07;1.5e+07;-1.19761;0
2.558e-07;1.5e+07;-1.18546;0
2.561e-07;1.5e+07;-1.17236;0
2.564e-07;1.5e+07;-1.15832;0
2.567e-07;1.5e+07;-1.14336;0
2.57e-07;1.5e+07;-1.1275;0
2.573e-07;1.5e+07;-1.11074;0
2.576e-07;1.5e+07;-1.09311;0
2.579e-07;1.5e+07;-1.07461;0
2.582e-07;1.5e+07;-1.05527;0
2.585e-07;1.5e+07;-1.0351;0
2.588e-07;1.5e+07;-1.01411;0
2.591e-07;1.5e+07;-0.992333;0
2.594e-07;1.5e+07;-0.969774;0
2.597e-07;1.5e+07;-0.946455;0
2.6e-07;1.5e+07;-0.922393;0
2.603e-07;1.5e+07;-0.897607;0
2.606e-07;1.5e+07;-0.872117;0
2.609e-07;1.5e+07;-0.845941;0
2.612e-07;1.5e+07;-0.819101;0
2.615e-07;1.5e+07;-0.791617;0
2.618e-07;1.5e+07;-0.763512;0
2.621e-07;1.5e+07;-0.734807;0
2.624e-07;1.5e+07;-0.705526;0
2.627e-07;1.5e+07;-0.675693;0
2.63e-07;1.5e+07;-0.645331;0
2.633e-07;1.5e+07;-0.614466;0
2.636e-07;1.5e+07;-0.583124;0
2.639e-07;1.5e+07;-0.55133;0
2.642e-07;1.5e+07;-0.519112;0
2.645e-07;1.5e+07;-0.486497;0
2.648e-07;1.5e+07;-0.453512;0
2.651e-07;1.5e+07;-0.420187;0
2.654e-07;1.5e+07;-0.38655;0
2.657e-07;1.5e+07;-0.352632;0
2.66e-07;1.5e+07;-0.318461;0
2.663e-07;1.5e+07;-0.284069;0
2.666e-07;1.5e+07;-0.249487;0
2.669e-07;1.5e+07;-0.214743;0
2.672e-07;1.5e+07;-0.179858;0
2.675e-07;1.5e+07;-0.144839;0
2.678e-07;1.5e+07;-0.109661;0
2.681e-07;1.5e+07;-0.0742632;0
2.684e-07;1.5e+07;-0.0385665;0
2.687e-07;1.5e+07;-0.00250069;0
2.69e-07;1.5e+07;0.0339648;0
2.693e-07;1.5e+07;0.0708047;0
2.696e-07;1.5e+07;0.107942;0
2.699e-07;1.5e+07;0.14526;0
2.702e-07;1.5e+07;0.182606;0
2.705e-07;1.5e+07;0.219804;0
2.708e-07;1.5e+07;0.256656;0
2.711e-07;1.5e+07;0.292952;0
2.714e-07;1.5e+07;0.328498;0
2.717e-07;1.5e+07;0.363144;0
2.72e-07;1.5e+07;0.396821;0
2.723e-07;1.5e+07;0.429537;0
2.726e-07;1.5e+07;0.461366;0
2.729e-07;1.5e+07;0.492415;0
2.732e-07;1.5e+07;0.522802;0
2.735e-07;1.5e+07;0.552643;0
2.738e-07;1.5e+07;0.582041;0
2.741e-07;1.5e+07;0.611085;0
2.744e-07;1.5e+07;0.639841;0
2.747e-07;1.5e+07;0.668356;0
2.75e-07;1.5e+07;0.696651;0
2.753e-07;1.5e+07;0.724728;0
2.756e-07;1.5e+07;0.752567;0
2.759e-07;1.5e+07;0.78013;0
2.762e-07;1.5e+07;0.807365;0
2.765e-07;1.5e+07;0.834209;0
2.768e-07;1.5e+07;0.860592;0
2.771e-07;1.5e+07;0.88644;0
2.774e-07;1.5e+07;0.911677;0
2.777e-07;1.5e+07;0.936231;0
2.78e-07;1.5e+07;0.960034;0
2.783e-07;1.5e+07;0.983026;0
2.786e-07;1.5e+07;1.00515;0
2.789e-07;1.5e+07;1.02637;0
2.792e-07;1.5e+07;1.04665;0
2.795e-07;1.5e+07;1.06595;0
2.798e-07;1.5e+07;1.08427;0
2.801e-07;1.5e+07;1.10159;0
2.804e-07;1.5e+07;1.11791;0
2.807e-07;1.5e+07;1.13324;0
